episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
20947.770000000048,-14167.13000000007,3390.319999999989,1515.0,2,1,4000,False,2,1,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-42-15,1612842135,29.70490574836731,29.70490574836731,2722441,vll-davidfan,192.168.88.226,29.70490574836731,0,1,b9415_00000,"[20947.770000000048, -14167.13000000007]","[1899, 1131]",0.47713629873476454,0.09169950392269487,0.8807383725357724,0.027215948583959967,5970.916,669.914,23728.913,168.571,1.481,4000,4000,10.374418604651163,74.28139534883722,0.0,0.2,8e-06,0.4654707359150052,-0.019038322294363752,0.9777319394052029,0.020121694,0.011791292476118542,0.6715167686343193,0.01
39808.070000000036,-14167.13000000007,5394.701999999993,1598.6,3,1,8000,False,5,2,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-42-46,1612842166,30.935646533966064,60.640552282333374,2722441,vll-davidfan,192.168.88.226,60.640552282333374,0,2,b9415_00000,"[-12677.760000000017, -6937.440000000031, 39808.070000000036, 20947.770000000048, -14167.13000000007]","[1476, 1588, 1899, 1899, 1131]",0.48839795615149706,0.09241779224413274,0.8845306687261608,0.027160025293006585,6068.705,659.119,24246.464,164.973,1.485,8000,8000,10.154545454545454,74.37954545454546,0.0,0.2,8e-06,0.4384066539350897,-0.035831559740472585,0.9568697512149811,0.039395317,0.012412242125719786,0.6679104957729578,0.01
39808.070000000036,-14167.13000000007,5376.589999999958,1676.5714285714287,2,1,12000,False,7,3,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-43-16,1612842196,30.051055192947388,90.69160747528076,2722441,vll-davidfan,192.168.88.226,90.69160747528076,0,3,b9415_00000,"[11396.549999999857, -733.9300000001167, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036]","[1899, 1844, 1899, 1131, 1476, 1588, 1899]",0.4906731908789644,0.09262662147612725,0.8864330776578899,0.027161230057239638,6085.823,657.265,24139.567,165.703,1.438,12000,12000,10.430232558139535,74.40232558139536,0.0,0.2,8e-06,0.4469239627942443,-0.02738667013181839,0.9584020394831896,0.040381674,0.008232134307036176,0.6536819934844971,0.01
39808.070000000036,-14167.13000000007,8681.861111111079,1726.0,2,1,16000,False,9,4,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-43-46,1612842226,30.023090600967407,120.71469807624817,2722441,vll-davidfan,192.168.88.226,120.71469807624817,0,4,b9415_00000,"[20534.210000000036, 19966.409999999953, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844]",0.49164367772852546,0.09270866264664118,0.8874148577036971,0.02714987536536582,6076.713,658.251,24096.86,165.997,1.432,16000,16000,10.155813953488373,74.4,0.0,0.2,8e-06,0.4297865619882941,-0.03661082321195863,0.941320026293397,0.057058793,0.010346747541916557,0.6331971473991871,0.01
39808.070000000036,-14167.13000000007,11475.169999999995,1757.4545454545455,2,1,20000,False,11,5,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-44-16,1612842256,29.954792976379395,150.66949105262756,2722441,vll-davidfan,192.168.88.226,150.66949105262756,0,5,b9415_00000,"[13792.950000000128, 34297.1700000001, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899]",0.4918061085534623,0.09275267871489175,0.8882478791040931,0.02714198303923957,6069.858,658.994,24058.966,166.258,1.407,20000,20000,10.25813953488372,74.4,0.0,0.2,8e-06,0.42568419268354774,-0.04034130967920646,0.9408501945436001,0.05478426,0.008350142707058694,0.6069618239998817,0.01
41008.829999999856,-14167.13000000007,15744.093076923067,1779.2307692307693,2,1,24000,False,13,6,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-44-47,1612842287,30.958732843399048,181.6282238960266,2722441,vll-davidfan,192.168.88.226,181.6282238960266,0,6,b9415_00000,"[41008.829999999856, 37437.51000000008, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953, 13792.950000000128, 34297.1700000001]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899, 1899, 1899]",0.49156447426314653,0.09281112339432121,0.8892247084670246,0.027143623910530525,6071.0,658.87,24195.328,165.321,1.402,24000,24000,13.670454545454545,74.43409090909091,0.0,0.2,8e-06,0.39026564615778625,-0.0626158591476269,0.9128277860581875,0.07184755,0.011639884556643665,0.5860378742218018,0.01
66842.18999999993,-14167.13000000007,20733.323333333323,1795.2,2,1,28000,False,15,7,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-45-17,1612842317,30.1907160282135,211.8189399242401,2722441,vll-davidfan,192.168.88.226,211.8189399242401,0,7,b9415_00000,"[39484.4500000001, 66842.18999999993, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953, 13792.950000000128, 34297.1700000001, 41008.829999999856, 37437.51000000008]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899, 1899, 1899, 1899, 1899]",0.4921507299369135,0.09290758736604446,0.8901072381274854,0.027160325173351096,6100.483,655.686,24154.387,165.601,1.404,28000,28000,10.953488372093023,74.47674418604652,0.0,0.2,8e-06,0.3810704853385687,-0.06656941573601216,0.9013934284448624,0.08243325,0.01245292229577899,0.5547398896887898,0.01
98827.62999999987,-14167.13000000007,29178.509999999987,1807.4117647058824,2,1,32000,False,17,8,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-45-47,1612842347,29.742888689041138,241.56182861328125,2722441,vll-davidfan,192.168.88.226,241.56182861328125,0,8,b9415_00000,"[86207.19000000005, 98827.62999999987, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953, 13792.950000000128, 34297.1700000001, 41008.829999999856, 37437.51000000008, 39484.4500000001, 66842.18999999993]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899]",0.4922073709556624,0.0929796795843917,0.8909582312616291,0.02717367614820513,6092.566,656.538,24097.654,165.991,1.414,32000,32000,10.135714285714286,74.49761904761905,0.0,0.2,8e-06,0.3529641074128449,-0.07700074356398545,0.8648539632558823,0.09991373,0.013638470030855387,0.5189820760861039,0.01
128894.84999999985,-14167.13000000007,37239.02684210525,1817.0526315789473,2,1,36000,False,19,9,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-46-17,1612842377,30.12955379486084,271.6913824081421,2722441,vll-davidfan,192.168.88.226,271.6913824081421,0,9,b9415_00000,"[82611.99000000012, 128894.84999999985, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953, 13792.950000000128, 34297.1700000001, 41008.829999999856, 37437.51000000008, 39484.4500000001, 66842.18999999993, 86207.19000000005, 98827.62999999987]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899]",0.4919288877483588,0.09303197232126799,0.8913177040795608,0.027183174506395222,6067.923,659.204,24115.04,165.872,1.399,36000,36000,10.183720930232559,74.5,0.0,0.2,8e-06,0.3278100567404181,-0.08372944322763942,0.8273980487138033,0.11511585,0.013426032441202551,0.4844729257747531,0.01
142142.16999999998,-14167.13000000007,45744.14523809522,1824.857142857143,2,1,40000,True,21,10,a1e855fd1245475ab1013aad23634e00,2021-02-09_11-46-47,1612842407,29.755438804626465,301.44682121276855,2722441,vll-davidfan,192.168.88.226,301.44682121276855,0,10,b9415_00000,"[110943.3699999998, 142142.16999999998, 20947.770000000048, -14167.13000000007, -12677.760000000017, -6937.440000000031, 39808.070000000036, 11396.549999999857, -733.9300000001167, 20534.210000000036, 19966.409999999953, 13792.950000000128, 34297.1700000001, 41008.829999999856, 37437.51000000008, 39484.4500000001, 66842.18999999993, 86207.19000000005, 98827.62999999987, 82611.99000000012, 128894.84999999985]","[1899, 1899, 1899, 1131, 1476, 1588, 1899, 1899, 1844, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899, 1899]",0.4917737161215793,0.09306826488096875,0.8912782814648158,0.027187286035833515,6056.194,660.481,24083.523,166.089,1.401,40000,40000,10.155813953488371,74.50232558139534,0.0,0.2,8e-06,0.3190522352233529,-0.082905354880495,0.8084292728453875,0.1200063,0.011190193486982025,0.4495093021541834,0.01
